ZIP_NEW,BEDS,BATHS,SQUARE_FEET,LOT SIZE,YEAR_BUILT,PRICE
92583,4,2.5,2333,4792,2004,330000
92870,3,2.5,1917,3128,1996,729000
92308,2,2,1195,2870,1989,179000
92508,3,2.5,2929,7405,2000,479900
94534,3,2.5,1917,4025,2004,519880
93311,3,2.5,1666,1742,2007,249900
93312,4,2,1942,6970,2015,312000
93454,3,3,1497,2100,2018,395000
93312,4,2.5,1984,6534,2015,319888
94558,4,3,2912,18487,1973,1175000
93561,3,2.5,2415,60548,2008,395000
93454,3,3,1654,2100,2018,409000
92661,4,3.5,3550,4830,2017,8475000
93222,5,2.75,2072,10454,1982,310000
92026,4,3,2875,2100,2017,724990
93458,4,3,2729,5227,2016,530000
92352,4,3.25,3960,8423,2000,975000
91784,3,3,3274,20140,1976,979900
92508,5,3,3645,13068,2003,649000
92027,3,2,1216,5641,1988,454900
92308,3,2,1857,24500,1985,299950
92508,4,2.5,2077,36155,2004,499900
92308,2,2,1958,6000,2016,334000
92036,4,2,1841,7268,2002,469000
92508,4,3.5,3947,9148,2004,658000
92308,2,2,1267,2695,1988,194000
92307,3,2,2500,28275,1978,355000
92308,4,4.25,3873,31100,2002,655000
92583,3,3,2744,5663,2006,325000
92308,3,2,1890,22615,2001,349000
94533,2,2,1040,3485,1980,299500
95033,2,1.5,1635,3248,1997,819000
92307,4,2.5,2950,29000,1986,369900
92508,4,3,2662,10890,2003,539000
95033,2,2,1800,4472,2005,929900
92508,4,2.5,3060,10890,2001,648888
93222,3,2.5,2312,19743,1991,369000
93458,4,2,2212,6534,2001,430000
92307,3,2,1864,18400,1998,309900
92307,4,3.25,2522,30000,1982,389900
94599,3,2,1400,5868,1982,1495000
94534,3,2,2125,8887,1990,589856
93561,3,3.5,1940,133729,2008,350000
94534,3,2,1579,4003,1985,419000
92065,3,2,2530,495277,2003,875000
92307,4,2.5,2362,23600,1997,425000
92308,4,2,1940,24400,1988,315000
93280,3,2,1328,7841,2004,248000
92307,3,2,2130,1400,1989,284000
92308,4,4.5,3212,18909,2009,550000
93907,3,2,1527,43996,1986,699000
92562,4,2.75,2727,229125,1989,999000
93215,4,2,1239,6603,1990,213000
92308,3,3,2446,6400,1990,292000
93311,3,3,1666,1742,2014,260000
92308,2,2,1380,782,1986,200000
91901,3,2,1636,1400,1999,589000
93304,3,2,1285,6656,2014,183500
92508,5,3,3652,11326,2001,569800
92508,4,3,3146,10454,2003,559950
91901,4,3,1914,10354,1998,615000
92026,4,3,2875,2100,2017,689990
92019,5,2.5,2569,34848,1980,775000
92307,3,2.5,1987,33533,1987,292000
92308,4,4.5,3721,19176,2000,689999
92308,2,2,1100,3160,1989,195000
92345,3,2,1848,23250,1981,344900
92562,5,3.5,3974,272250,1983,995000
92307,5,3,3104,30000,2001,435000
93280,4,2,1626,6098,2005,215000
92582,5,3,2713,6970,2004,285000
92307,3,2,1388,44550,1976,235000
92065,4,3,3691,349351,1982,769000
94533,3,1,1000,6534,1983,359000
94533,3,1,1000,6534,1983,383000
92881,3,2.5,1517,10890,1996,499000
92308,2,2,1674,5263,2005,315000
92571,5,3,2802,4356,2005,345000
92019,4,3,2848,32234,1981,499900
92308,2,2,1650,6846,2012,285000
92508,3,2,2412,40511,2018,495000
92508,5,3,2328,6970,1991,480000
